date,bank,sentiment
2025-02-28,Dashen Bank,1.0
2025-03-01,Bank of Abyssinia,0.3333333333333333
2025-03-01,Dashen Bank,1.0
2025-03-02,Bank of Abyssinia,1.0
2025-03-03,Bank of Abyssinia,0.5
2025-03-04,Bank of Abyssinia,-1.0
2025-03-04,Dashen Bank,1.0
2025-03-05,Bank of Abyssinia,0.0
2025-03-06,Bank of Abyssinia,1.0
2025-03-06,Dashen Bank,1.0
2025-03-07,Bank of Abyssinia,0.0
2025-03-07,Dashen Bank,-1.0
2025-03-08,Bank of Abyssinia,0.0
2025-03-08,Dashen Bank,1.0
2025-03-09,Bank of Abyssinia,1.0
2025-03-10,Bank of Abyssinia,1.0
2025-03-10,Dashen Bank,0.6666666666666666
2025-03-11,Bank of Abyssinia,0.0
2025-03-11,Dashen Bank,1.0
2025-03-12,Bank of Abyssinia,1.0
2025-03-12,Dashen Bank,1.0
2025-03-13,Dashen Bank,0.0
2025-03-14,Bank of Abyssinia,1.0
2025-03-14,Dashen Bank,-0.5
2025-03-15,Dashen Bank,-1.0
2025-03-17,Bank of Abyssinia,1.0
2025-03-17,Dashen Bank,1.0
2025-03-18,Dashen Bank,1.0
2025-03-19,Bank of Abyssinia,0.2
2025-03-19,Dashen Bank,1.0
2025-03-20,Dashen Bank,0.0
2025-03-21,Bank of Abyssinia,1.0
2025-03-21,Commercial Bank of Ethiopia,0.0
2025-03-21,Dashen Bank,1.0
2025-03-22,Bank of Abyssinia,1.0
2025-03-22,Dashen Bank,-0.3333333333333333
2025-03-23,Commercial Bank of Ethiopia,0.75
2025-03-24,Bank of Abyssinia,-1.0
2025-03-24,Commercial Bank of Ethiopia,0.36363636363636365
2025-03-25,Bank of Abyssinia,1.0
2025-03-25,Commercial Bank of Ethiopia,0.7
2025-03-25,Dashen Bank,0.0
2025-03-26,Bank of Abyssinia,-1.0
2025-03-26,Commercial Bank of Ethiopia,0.2857142857142857
2025-03-26,Dashen Bank,0.6666666666666666
2025-03-27,Commercial Bank of Ethiopia,0.25
2025-03-27,Dashen Bank,1.0
2025-03-28,Commercial Bank of Ethiopia,0.6666666666666666
2025-03-28,Dashen Bank,1.0
2025-03-29,Bank of Abyssinia,-1.0
2025-03-29,Commercial Bank of Ethiopia,0.42857142857142855
2025-03-29,Dashen Bank,1.0
2025-03-30,Bank of Abyssinia,0.5
2025-03-30,Commercial Bank of Ethiopia,0.8695652173913043
2025-03-30,Dashen Bank,1.0
2025-03-31,Bank of Abyssinia,0.0
2025-03-31,Commercial Bank of Ethiopia,0.75
2025-03-31,Dashen Bank,1.0
2025-04-01,Bank of Abyssinia,0.0
2025-04-01,Commercial Bank of Ethiopia,0.5897435897435898
2025-04-01,Dashen Bank,1.0
2025-04-02,Bank of Abyssinia,1.0
2025-04-02,Commercial Bank of Ethiopia,0.7777777777777778
2025-04-02,Dashen Bank,-0.5
2025-04-03,Bank of Abyssinia,1.0
2025-04-03,Commercial Bank of Ethiopia,0.875
2025-04-03,Dashen Bank,1.0
2025-04-04,Bank of Abyssinia,1.0
2025-04-04,Commercial Bank of Ethiopia,0.8
2025-04-04,Dashen Bank,0.25
2025-04-05,Commercial Bank of Ethiopia,0.8333333333333334
2025-04-05,Dashen Bank,1.0
2025-04-06,Bank of Abyssinia,0.5
2025-04-06,Commercial Bank of Ethiopia,0.3333333333333333
2025-04-06,Dashen Bank,1.0
2025-04-07,Bank of Abyssinia,1.0
2025-04-07,Commercial Bank of Ethiopia,0.8
2025-04-07,Dashen Bank,0.0
2025-04-08,Bank of Abyssinia,-0.5
2025-04-08,Commercial Bank of Ethiopia,0.8333333333333334
2025-04-08,Dashen Bank,0.0
2025-04-09,Bank of Abyssinia,0.5
2025-04-09,Commercial Bank of Ethiopia,0.2
2025-04-09,Dashen Bank,1.0
2025-04-10,Bank of Abyssinia,1.0
2025-04-10,Commercial Bank of Ethiopia,0.875
2025-04-10,Dashen Bank,0.3333333333333333
2025-04-11,Commercial Bank of Ethiopia,0.25
2025-04-12,Commercial Bank of Ethiopia,0.75
2025-04-12,Dashen Bank,-1.0
2025-04-13,Commercial Bank of Ethiopia,0.5384615384615384
2025-04-13,Dashen Bank,0.0
2025-04-14,Commercial Bank of Ethiopia,0.5
2025-04-14,Dashen Bank,1.0
2025-04-15,Commercial Bank of Ethiopia,0.8
2025-04-16,Commercial Bank of Ethiopia,1.0
2025-04-16,Dashen Bank,0.0
2025-04-17,Bank of Abyssinia,0.0
2025-04-17,Commercial Bank of Ethiopia,0.8
2025-04-17,Dashen Bank,0.3333333333333333
2025-04-18,Bank of Abyssinia,0.0
2025-04-18,Commercial Bank of Ethiopia,0.5555555555555556
2025-04-18,Dashen Bank,1.0
2025-04-19,Bank of Abyssinia,0.0
2025-04-19,Commercial Bank of Ethiopia,0.7777777777777778
2025-04-19,Dashen Bank,1.0
2025-04-20,Bank of Abyssinia,0.0
2025-04-20,Commercial Bank of Ethiopia,1.0
2025-04-20,Dashen Bank,1.0
2025-04-21,Commercial Bank of Ethiopia,0.5
2025-04-21,Dashen Bank,0.9245283018867925
2025-04-22,Dashen Bank,0.8636363636363636
2025-04-23,Bank of Abyssinia,0.0
2025-04-23,Dashen Bank,0.75
2025-04-24,Commercial Bank of Ethiopia,1.0
2025-04-24,Dashen Bank,0.2
2025-04-25,Commercial Bank of Ethiopia,0.0
2025-04-25,Dashen Bank,1.0
2025-04-26,Commercial Bank of Ethiopia,0.5714285714285714
2025-04-26,Dashen Bank,1.0
2025-04-27,Commercial Bank of Ethiopia,1.0
2025-04-27,Dashen Bank,1.0
2025-04-28,Bank of Abyssinia,1.0
2025-04-28,Commercial Bank of Ethiopia,0.6666666666666666
2025-04-28,Dashen Bank,0.6
2025-04-29,Dashen Bank,1.0
2025-04-30,Bank of Abyssinia,1.0
2025-04-30,Commercial Bank of Ethiopia,0.0
2025-04-30,Dashen Bank,0.4
2025-05-01,Dashen Bank,0.0
2025-05-02,Bank of Abyssinia,1.0
2025-05-02,Commercial Bank of Ethiopia,0.5882352941176471
2025-05-02,Dashen Bank,1.0
2025-05-03,Commercial Bank of Ethiopia,0.5714285714285714
2025-05-03,Dashen Bank,0.3333333333333333
2025-05-04,Commercial Bank of Ethiopia,0.2
2025-05-05,Commercial Bank of Ethiopia,0.6
2025-05-06,Bank of Abyssinia,0.0
2025-05-06,Commercial Bank of Ethiopia,0.7
2025-05-07,Bank of Abyssinia,1.0
2025-05-07,Commercial Bank of Ethiopia,1.0
2025-05-08,Commercial Bank of Ethiopia,0.3333333333333333
2025-05-08,Dashen Bank,1.0
2025-05-09,Bank of Abyssinia,1.0
2025-05-09,Commercial Bank of Ethiopia,1.0
2025-05-09,Dashen Bank,1.0
2025-05-10,Bank of Abyssinia,0.0
2025-05-10,Commercial Bank of Ethiopia,0.0
2025-05-10,Dashen Bank,1.0
2025-05-11,Bank of Abyssinia,-1.0
2025-05-11,Commercial Bank of Ethiopia,0.0
2025-05-12,Commercial Bank of Ethiopia,1.0
2025-05-12,Dashen Bank,0.3333333333333333
2025-05-13,Commercial Bank of Ethiopia,0.3333333333333333
2025-05-13,Dashen Bank,0.8571428571428571
2025-05-14,Bank of Abyssinia,0.0
2025-05-14,Commercial Bank of Ethiopia,1.0
2025-05-14,Dashen Bank,0.75
2025-05-15,Bank of Abyssinia,1.0
2025-05-15,Commercial Bank of Ethiopia,1.0
2025-05-15,Dashen Bank,0.3333333333333333
2025-05-16,Bank of Abyssinia,1.0
2025-05-16,Commercial Bank of Ethiopia,1.0
2025-05-16,Dashen Bank,0.5
2025-05-17,Commercial Bank of Ethiopia,0.5
2025-05-17,Dashen Bank,0.3333333333333333
2025-05-18,Bank of Abyssinia,0.0
2025-05-18,Commercial Bank of Ethiopia,1.0
2025-05-18,Dashen Bank,1.0
2025-05-19,Bank of Abyssinia,0.0
2025-05-19,Commercial Bank of Ethiopia,1.0
2025-05-19,Dashen Bank,1.0
2025-05-20,Bank of Abyssinia,0.5
2025-05-20,Commercial Bank of Ethiopia,0.4
2025-05-20,Dashen Bank,1.0
2025-05-21,Bank of Abyssinia,1.0
2025-05-21,Commercial Bank of Ethiopia,0.6486486486486487
2025-05-22,Bank of Abyssinia,0.0
2025-05-22,Commercial Bank of Ethiopia,0.3157894736842105
2025-05-22,Dashen Bank,0.0
2025-05-23,Commercial Bank of Ethiopia,0.7272727272727273
2025-05-23,Dashen Bank,1.0
2025-05-24,Bank of Abyssinia,-1.0
2025-05-24,Commercial Bank of Ethiopia,0.8
2025-05-24,Dashen Bank,0.5
2025-05-25,Bank of Abyssinia,1.0
2025-05-25,Commercial Bank of Ethiopia,0.6
2025-05-26,Commercial Bank of Ethiopia,0.8
2025-05-26,Dashen Bank,0.3333333333333333
2025-05-27,Bank of Abyssinia,-1.0
2025-05-27,Commercial Bank of Ethiopia,0.3333333333333333
2025-05-27,Dashen Bank,0.5
2025-05-28,Commercial Bank of Ethiopia,1.0
2025-05-28,Dashen Bank,0.25
2025-05-29,Commercial Bank of Ethiopia,0.0
2025-05-29,Dashen Bank,0.0
2025-05-30,Commercial Bank of Ethiopia,0.25
2025-05-30,Dashen Bank,1.0
2025-05-31,Bank of Abyssinia,1.0
2025-05-31,Commercial Bank of Ethiopia,0.25
2025-05-31,Dashen Bank,0.8
2025-06-01,Bank of Abyssinia,0.0
2025-06-01,Commercial Bank of Ethiopia,1.0
2025-06-01,Dashen Bank,0.0
2025-06-02,Bank of Abyssinia,1.0
2025-06-02,Commercial Bank of Ethiopia,0.3333333333333333
2025-06-03,Bank of Abyssinia,-0.5
2025-06-03,Commercial Bank of Ethiopia,0.2
2025-06-03,Dashen Bank,0.5
2025-06-04,Commercial Bank of Ethiopia,0.6923076923076923
2025-06-04,Dashen Bank,1.0
2025-06-05,Bank of Abyssinia,0.0
2025-06-05,Commercial Bank of Ethiopia,0.2
2025-06-06,Commercial Bank of Ethiopia,1.0
2025-06-06,Dashen Bank,1.0
